row_id,microbusiness_density
10001_2022-11-01,7.009183665212557
10001_2022-12-01,7.06405566405158
10001_2023-01-01,7.096932995186615
10001_2023-02-01,7.096932995186615
10001_2023-03-01,7.096932995186615
10001_2023-04-01,7.096932995186615
10001_2023-05-01,7.096932995186615
10001_2023-06-01,7.096932995186615
10003_2022-11-01,20.59898441928955
10003_2022-12-01,22.15552810386541
10003_2023-01-01,22.261943673899047
10003_2023-02-01,22.261943673899047
10003_2023-03-01,22.261943673899047
10003_2023-04-01,22.261943673899047
10003_2023-05-01,22.261943673899047
10003_2023-06-01,22.261943673899047
10005_2022-11-01,59.97743753592003
10005_2022-12-01,58.1043065999213
10005_2023-01-01,58.3397174073517
10005_2023-02-01,58.3397174073517
10005_2023-03-01,58.3397174073517
10005_2023-04-01,58.3397174073517
10005_2023-05-01,58.3397174073517
10005_2023-06-01,58.3397174073517
1001_2022-11-01,3.2922274132949285
1001_2022-12-01,3.3192311836896353
1001_2023-01-01,3.334037286682346
1001_2023-02-01,3.334037286682346
1001_2023-03-01,3.334037286682346
1001_2023-04-01,3.334037286682346
1001_2023-05-01,3.334037286682346
1001_2023-06-01,3.334037286682346
1003_2022-11-01,7.941944546113809
1003_2022-12-01,7.935206675828305
1003_2023-01-01,7.953446197903343
1003_2023-02-01,7.953446197903343
1003_2023-03-01,7.953446197903343
1003_2023-04-01,7.953446197903343
1003_2023-05-01,7.953446197903343
1003_2023-06-01,7.953446197903343
1005_2022-11-01,1.235308843770943
1005_2022-12-01,1.2403100099424855
1005_2023-01-01,1.2458954744480528
1005_2023-02-01,1.2458954744480528
1005_2023-03-01,1.2458954744480528
1005_2023-04-01,1.2458954744480528
1005_2023-05-01,1.2458954744480528
1005_2023-06-01,1.2458954744480528
1007_2022-11-01,1.2752809473033708
1007_2022-12-01,1.286516831460674
1007_2023-01-01,1.2906759009406972
1007_2023-02-01,1.2906759009406972
1007_2023-03-01,1.2906759009406972
1007_2023-04-01,1.2906759009406972
1007_2023-05-01,1.2906759009406972
1007_2023-06-01,1.2906759009406972
1009_2022-11-01,1.8030574848366183
1009_2022-12-01,1.8185437652529808
1009_2023-01-01,1.8243526199514855
1009_2023-02-01,1.8243526199514855
1009_2023-03-01,1.8243526199514855
1009_2023-04-01,1.8243526199514855
1009_2023-05-01,1.8243526199514855
1009_2023-06-01,1.8243526199514855
1011_2022-11-01,0.9897316135098356
1011_2022-12-01,1.0021031121860695
1011_2023-01-01,1.0021031121860695
