row_id,microbusiness_density
1001_2022-11-01,3.404743687834736
1001_2022-12-01,3.422746298213241
1001_2023-01-01,3.3372338989153425
1001_2023-02-01,1.1679193483055044
1001_2023-03-01,1.1679193483055044
1001_2023-04-01,1.1679193483055044
1001_2023-05-01,1.1679193483055044
1001_2023-06-01,1.1679193483055044
1003_2022-11-01,8.158670447208108
1003_2022-12-01,8.154178714803066
1003_2023-01-01,7.962157154487522
1003_2023-02-01,2.7910502231829537
1003_2023-03-01,2.7910502231829537
1003_2023-04-01,2.7910502231829537
1003_2023-05-01,2.7910502231829537
1003_2023-06-01,2.7910502231829537
1005_2022-11-01,1.2453113278319579
1005_2022-12-01,1.2503125781445361
1005_2023-01-01,1.2453113278319579
1005_2023-02-01,0.43510877719429863
1005_2023-03-01,0.43510877719429863
1005_2023-04-01,0.43510877719429863
1005_2023-05-01,0.43510877719429863
1005_2023-06-01,0.43510877719429863
1007_2022-11-01,1.2808988764044944
1007_2022-12-01,1.2865168539325842
1007_2023-01-01,1.292134831460674
1007_2023-02-01,0.4550561797752809
1007_2023-03-01,0.4550561797752809
1007_2023-04-01,0.4550561797752809
1007_2023-05-01,0.4550561797752809
1007_2023-06-01,0.4550561797752809
1009_2022-11-01,1.8340302205703412
1009_2022-12-01,1.8428795823101258
1009_2023-01-01,1.827393199265503
1009_2023-02-01,0.6393663856994314
1009_2023-03-01,0.6393663856994314
1009_2023-04-01,0.6393663856994314
1009_2023-05-01,0.6393663856994314
1009_2023-06-01,0.6393663856994314
1011_2022-11-01,1.0144748237040704
1011_2022-12-01,1.0144748237040704
1011_2023-01-01,1.0021031795125572
1011_2023-02-01,0.34640603736236547
1011_2023-03-01,0.34640603736236547
1011_2023-04-01,0.34640603736236547
1011_2023-05-01,0.34640603736236547
1011_2023-06-01,0.34640603736236547
1013_2022-11-01,2.220572354211663
1013_2022-12-01,2.2273218142548594
1013_2023-01-01,2.2880669546436283
1013_2023-02-01,0.8031857451403888
1013_2023-03-01,0.8031857451403888
1013_2023-04-01,0.8031857451403888
1013_2023-05-01,0.8031857451403888
1013_2023-06-01,0.8031857451403888
1015_2022-11-01,2.7753971916408466
1015_2022-12-01,2.780890851956842
1015_2023-01-01,2.7600149427560594
1015_2023-02-01,0.965785483551981
1015_2023-03-01,0.965785483551981
1015_2023-04-01,0.965785483551981
1015_2023-05-01,0.965785483551981
1015_2023-06-01,0.965785483551981
1017_2022-11-01,1.4509576320371445
1017_2022-12-01,1.4545850261172375
1017_2023-01-01,1.4219384793964016
1017_2023-02-01,0.496952988972722
1017_2023-03-01,0.496952988972722
1017_2023-04-01,0.496952988972722
1017_2023-05-01,0.496952988972722
1017_2023-06-01,0.496952988972722
1019_2022-11-01,1.1575914149443562
1019_2022-12-01,1.1675278219395866
1019_2023-01-01,1.2023052464228934
1019_2023-02-01,0.4222972972972973
1019_2023-03-01,0.4222972972972973
1019_2023-04-01,0.4222972972972973
1019_2023-05-01,0.4222972972972973
1019_2023-06-01,0.4222972972972973
1021_2022-11-01,1.8146106941838651
1021_2022-12-01,1.7940900562851783
1021_2023-01-01,1.7823639774859286
1021_2023-02-01,0.6244136960600375
1021_2023-03-01,0.6244136960600375
1021_2023-04-01,0.6244136960600375
1021_2023-05-01,0.6244136960600375
1021_2023-06-01,0.6244136960600375
1023_2022-11-01,1.6754850088183422
1023_2022-12-01,1.6558886929257297
1023_2023-01-01,1.665686850872036
1023_2023-02-01,0.5780913188320596
1023_2023-03-01,0.5780913188320596
1023_2023-04-01,0.5780913188320596
1023_2023-05-01,0.5780913188320596
1023_2023-06-01,0.5780913188320596
1025_2022-11-01,1.3540290620871862
1025_2022-12-01,1.3375165125495376
1025_2023-01-01,1.3650374284456186
1025_2023-02-01,0.47886393659180976
1025_2023-03-01,0.47886393659180976
1025_2023-04-01,0.47886393659180976
1025_2023-05-01,0.47886393659180976
1025_2023-06-01,0.47886393659180976
1027_2022-11-01,1.558162442912152
1027_2022-12-01,1.549207486343691
1027_2023-01-01,1.4954777469329275
1027_2023-02-01,0.5193874809707173
1027_2023-03-01,0.5193874809707173
1027_2023-04-01,0.5193874809707173
1027_2023-05-01,0.5193874809707173
1027_2023-06-01,0.5193874809707173
1029_2022-11-01,1.3444798758941654
1029_2022-12-01,1.3444798758941654
1029_2023-01-01,1.3530983366370768
1029_2023-02-01,0.47401534086012237
1029_2023-03-01,0.47401534086012237
1029_2023-04-01,0.47401534086012237
1029_2023-05-01,0.47401534086012237
1029_2023-06-01,0.47401534086012237
1031_2022-11-01,2.216937900968517
1031_2022-12-01,2.2367541056699114
1031_2023-01-01,2.2268460033192143
1031_2023-02-01,0.7777860345297367
1031_2023-03-01,0.7777860345297367
1031_2023-04-01,0.7777860345297367
1031_2023-05-01,0.7777860345297367
1031_2023-06-01,0.7777860345297367
1033_2022-11-01,2.4202739848481465
1033_2022-12-01,2.4202739848481465
1033_2023-01-01,2.382282611124768
1033_2023-02-01,0.8335754352247078
1033_2023-03-01,0.8335754352247078
1033_2023-04-01,0.8335754352247078
1033_2023-05-01,0.8335754352247078
1033_2023-06-01,0.8335754352247078
1035_2022-11-01,1.0828776669883136
1035_2022-12-01,1.0292698616918623
1035_2023-01-01,1.0507129838104428
1035_2023-02-01,0.36453307601586793
1035_2023-03-01,0.36453307601586793
1035_2023-04-01,0.36453307601586793
1035_2023-05-01,0.36453307601586793
1035_2023-06-01,0.36453307601586793
1037_2022-11-01,0.8117996798536473
1037_2022-12-01,0.8003658815458496
1037_2023-01-01,0.8117996798536473
1037_2023-02-01,0.2858449576949462
1037_2023-03-01,0.2858449576949462
1037_2023-04-01,0.2858449576949462
1037_2023-05-01,0.2858449576949462
1037_2023-06-01,0.2858449576949462
1039_2022-11-01,1.701193579366168
1039_2022-12-01,1.721772533955275
1039_2023-01-01,1.7252023597201263
1039_2023-02-01,0.6036493346138017
1039_2023-03-01,0.6036493346138017
1039_2023-04-01,0.6036493346138017
1039_2023-05-01,0.6036493346138017
1039_2023-06-01,0.6036493346138017
1041_2022-11-01,1.0613437195715676
1041_2022-12-01,1.0516066212268744
1041_2023-01-01,1.0808179162609541
1041_2023-02-01,0.37974683544303794
1041_2023-03-01,0.37974683544303794
1041_2023-04-01,0.37974683544303794
1041_2023-05-01,0.37974683544303794
1041_2023-06-01,0.37974683544303794
1043_2022-11-01,2.6806630489576846
1043_2022-12-01,2.70142039557572
1043_2023-01-01,2.6361830204904666
1043_2023-02-01,0.922219256886991
1043_2023-03-01,0.922219256886991
1043_2023-04-01,0.922219256886991
1043_2023-05-01,0.922219256886991
1043_2023-06-01,0.922219256886991
1045_2022-11-01,1.777450567942785
1045_2022-12-01,1.7905973916701723
1045_2023-01-01,1.79322675641565
1045_2023-02-01,0.6284181741691207
1045_2023-03-01,0.6284181741691207
1045_2023-04-01,0.6284181741691207
1045_2023-05-01,0.6284181741691207
1045_2023-06-01,0.6284181741691207
1047_2022-11-01,1.4605909672208386
1047_2022-12-01,1.4740526351214915
1047_2023-01-01,1.4538601332705121
1047_2023-02-01,0.5081779632496466
1047_2023-03-01,0.5081779632496466
1047_2023-04-01,0.5081779632496466
1047_2023-05-01,0.5081779632496466
1047_2023-06-01,0.5081779632496466
1049_2022-11-01,2.277723384996213
1049_2022-12-01,2.2832652910424325
1049_2023-01-01,2.2869598950732457
1049_2023-02-01,0.8017290746864204
1049_2023-03-01,0.8017290746864204
1049_2023-04-01,0.8017290746864204
1049_2023-05-01,0.8017290746864204
1049_2023-06-01,0.8017290746864204
1051_2022-11-01,3.1871038283662583
1051_2022-12-01,3.1871038283662583
1051_2023-01-01,3.0615109561311487
1051_2023-02-01,1.0697557588025828
1051_2023-03-01,1.0697557588025828
1051_2023-04-01,1.0697557588025828
1051_2023-05-01,1.0697557588025828
1051_2023-06-01,1.0697557588025828
1053_2022-11-01,1.9495774746660124
1053_2022-12-01,1.9530839089729655
1053_2023-01-01,1.960096777586872
1053_2023-02-01,0.6872611241628388
1053_2023-03-01,0.6872611241628388
1053_2023-04-01,0.6872611241628388
1053_2023-05-01,0.6872611241628388
1053_2023-06-01,0.6872611241628388
1055_2022-11-01,2.734519608085096
1055_2022-12-01,2.7320516300994595
1055_2023-01-01,2.730817641106641
1055_2023-02-01,0.9563414694340926
1055_2023-03-01,0.9563414694340926
1055_2023-04-01,0.9563414694340926
1055_2023-05-01,0.9563414694340926
1055_2023-06-01,0.9563414694340926
